idx,lng,lat,chg_points
1,114.18385293547531,22.555656344555786,30
2,114.14339453591582,22.556831102421146,97
3,114.17600887004947,22.562319479401307,140
4,114.10119238108149,22.582195299634954,53
5,114.17311826616142,22.60683381297181,40
6,114.10119238108149,22.582195299634954,53
7,114.12290411040655,22.562410112773282,4
8,114.11790541994513,22.58358053503482,44
9,114.00245695955633,22.537205215438842,40
10,113.99928002911246,22.536420873556445,18
11,114.0581985770194,22.5723359629162,16
12,114.04110403584045,22.552176922266295,24
13,114.02346861928577,22.542624134779423,6
14,114.06461611748196,22.53259000124168,50
15,114.08093821179537,22.560130316068197,10
16,114.05060996554191,22.525563229943064,5
17,114.06794501602428,22.52080652980436,40
18,114.09336023354206,22.551364801268807,15
19,114.05412622944434,22.518846222123287,10
20,114.07172305077493,22.558810311275508,34
21,114.08809528625213,22.56268638783304,11
22,114.06068410562649,22.561479301097993,36
23,114.04497396176745,22.552592647392128,31
24,114.00750153428066,22.534791224206728,6
25,114.05792814792476,22.567478866312115,50
26,113.95994072881632,22.597654695564486,92
27,113.96014488260657,22.541732717199654,60
28,113.93969722154773,22.490389620604894,40
29,113.93791774675822,22.517054548068327,38
30,113.98740556571848,22.56060917681817,40
31,113.94044029224744,22.48986622458394,15
32,113.88460764759216,22.481192668691797,2
33,113.96795766025102,22.630382417874003,3
34,113.93543833570422,22.55291994343428,12
35,113.93935156151802,22.5235837173521,12
36,114.30469985306213,22.600591484146822,20
37,114.09929587496723,22.63608265388904,127
38,114.10538014483448,22.615817529057562,32
39,114.10233885898447,22.625161597412617,16
40,114.10044126589472,22.648200691435978,2
41,114.26741830040243,22.739389766040244,2
42,114.23191467581303,22.73158924942265,20
43,114.23274066841338,22.730806866568745,14
44,114.16386225388953,22.62153106508595,19
45,114.20636687252659,22.65210513369241,19
46,114.17547993579495,22.64854404170146,42
47,114.07132647631269,22.661240311749538,50
48,114.05487965935484,22.60692298320096,46
49,114.29165489942311,22.725878481373567,30
50,114.12180202062079,22.68484147237141,29
51,114.2829644412343,22.722991708175044,33
52,114.26374805297394,22.72467281042993,26
53,114.07047805582114,22.65683407680893,52
54,114.28890755807312,22.760541237069045,10
55,114.1227666693787,22.61129402071471,53
56,114.10077524349006,22.60805274314559,100
57,114.22173626813225,22.7249432987486,7
58,113.90355579075961,22.58731848174054,32
59,113.87647812016553,22.55891751921944,48
60,113.87804222430141,22.564304306976897,16
61,113.88152939437452,22.563160895828155,30
62,113.91175631579355,22.57305119065702,16
63,113.89920819424007,22.562466946312007,32
64,113.90482517772566,22.572690718353957,16
65,113.87450733534853,22.552102347046752,48
66,113.87560742075927,22.57942076472612,16
67,113.9055717771763,22.566938016492763,32
68,113.94077336334146,22.67091943098483,16
69,113.86482761760979,22.581599154659614,16
70,113.8586156629372,22.579690171455653,10
71,113.81485710688773,22.651968977906662,10
72,114.04279528388585,22.59882526648226,58
73,114.04594777779448,22.594823238304194,65
74,114.03060347698501,22.638764337449246,18
75,113.97907431658551,22.69889101404095,2
76,114.04626537063584,22.59403170076111,200
77,114.00101354938369,22.53793153552606,30
78,113.94414250924366,22.751684288230123,23
79,114.50423464260622,22.538751971915232,40
